Weeks,Days Relative to Due Date,On This Day
"33 weeks, 2 days",-47 days,0.1%
"33 weeks, 3 days",-46 days,0.1%
"33 weeks, 4 days",-45 days,0.1%
"33 weeks, 5 days",-44 days,0.1%
"33 weeks, 6 days",-43 days,0.1%
34w,-42 days,0.1%
"34 weeks, 1 day",-41 days,0.1%
"34 weeks, 2 days",-40 days,0.1%
"34 weeks, 3 days",-39 days,0.1%
"34 weeks, 4 days",-38 days,0.2%
"34 weeks, 5 days",-37 days,0.2%
"34 weeks, 6 days",-36 days,0.2%
35w,-35 days,0.2%
"35 weeks, 1 day",-34 days,0.3%
"35 weeks, 2 days",-33 days,0.3%
"35 weeks, 3 days",-32 days,0.3%
"35 weeks, 4 days",-31 days,0.4%
"35 weeks, 5 days",-30 days,0.4%
"35 weeks, 6 days",-29 days,0.4%
36w,-28 days,0.5%
"36 weeks, 1 day",-27 days,0.5%
"36 weeks, 2 days",-26 days,0.6%
"36 weeks, 3 days",-25 days,0.6%
"36 weeks, 4 days",-24 days,0.7%
"36 weeks, 5 days",-23 days,0.8%
"36 weeks, 6 days",-22 days,0.8%
37w,-21 days,0.9%
"37 weeks, 1 day",-20 days,1%
"37 weeks, 2 days",-19 days,1.1%
"37 weeks, 3 days",-18 days,1.1%
"37 weeks, 4 days",-17 days,1.2%
"37 weeks, 5 days",-16 days,1.3%
"37 weeks, 6 days",-15 days,1.4%
38w,-14 days,1.5%
"38 weeks, 1 day",-13 days,1.6%
"38 weeks, 2 days",-12 days,1.7%
"38 weeks, 3 days",-11 days,1.8%
"38 weeks, 4 days",-10 days,1.9%
"38 weeks, 5 days",-9 days,2%
"38 weeks, 6 days",-8 days,2.1%
39w,-7 days,2.2%
"39 weeks, 1 day",-6 days,2.4%
"39 weeks, 2 days",-5 days,2.5%
"39 weeks, 3 days",-4 days,2.6%
"39 weeks, 4 days",-3 days,2.7%
"39 weeks, 5 days",-2 days,2.8%
"39 weeks, 6 days",-1 day,2.9%
40w,0 days,3%
"40 weeks, 1 day",1 day,3.1%
"40 weeks, 2 days",2 days,3.2%
"40 weeks, 3 days",3 days,3.2%
"40 weeks, 4 days",4 days,3.3%
"40 weeks, 5 days",5 days,3.3%
"40 weeks, 6 days",6 days,3.3%
41w,7 days,3.3%
"41 weeks, 1 day",8 days,3.2%
"41 weeks, 2 days",9 days,3.1%
"41 weeks, 3 days",10 days,3%
"41 weeks, 4 days",11 days,2.8%
"41 weeks, 5 days",12 days,2.6%
"41 weeks, 6 days",13 days,2.3%
42w,14 days,2%
"42 weeks, 1 day",15 days,1.8%
"42 weeks, 2 days",16 days,1.5%
"42 weeks, 3 days",17 days,1.2%
"42 weeks, 4 days",18 days,0.9%
"42 weeks, 5 days",19 days,0.7%
"42 weeks, 6 days",20 days,0.5%
43w,21 days,0.4%
"43 weeks, 1 day",22 days,0.3%
"43 weeks, 2 days",23 days,0.2%
"43 weeks, 3 days",24 days,0.1%
"43 weeks, 4 days",25 days,0.1%
